key,en,zh
status.aria,Simulation status,模拟状态
status.title,Run State,运行状态
status.tick,Tick,回合
status.instructionUse,Instruction use,指令占用
status.vm,VM,虚拟机
language.aria,Language switch,语言切换
language.auto,AUTO,自动
language.en,EN,EN
language.zh,Chinese,中文
language.mode.auto,AUTO,自动
language.mode.en,EN,英文
language.mode.zh,ZH,中文
workspace.aria,Game UI flow,游戏 UI 流程
script.aria,Script editor,脚本编辑器
script.fileName,Logic_Core_v2.0,逻辑核心 v2.0
script.guidance.m1,Starter scaffold: use the wake script, confirm one pickup, then stop editing only after the unload loop is visible.,起步脚手架：先用唤醒脚本，确认能完成一次拾取，再继续改到能看见卸货循环。
script.guidance.m2,Starter scaffold: start from the haul loop and add the energy check before trying to optimize path length.,起步脚手架：先从搬运循环开始，先补上电量检查，再考虑路径优化。
script.guidance.m3,Starter scaffold: begin with the base cycle and keep home-facing branches readable before adding repair or fabrication tweaks.,起步脚手架：先从基地循环起步，先把朝向基地的分支写清楚，再加修理和合成细节。
script.guidance.m4,Starter scaffold: treat the hot zone as a health cost. Read the hazard first, decide whether to enter, then service at home before the next run.,起步脚手架：把危险区当成生命值成本。先读取危险，再决定要不要进去，回家维护后再开下一趟。
script.guidance.m5,Starter scaffold: read the current craft cost before every run. Pull only the ingredient the fabricator is still missing, then stop once the second shard is made.,起步脚手架：每次出门前先读取当前合成成本。只去补合成台这一轮还缺的那种材料，做出第二枚记忆晶片后就先停住。
script.guidance.m6,Starter scaffold: branch on hostile contact first. Fire when the lane is blocked by a target, then route home to repair before the frame collapses.,起步脚手架：先按敌对接触分支。通道被敌人挡住时先开火，再在机体崩掉前规划回家维修。
teaching.m1.collect.title,First recovery confirmed,首次回收已确认
teaching.m1.collect.body,Good. The robot can now pull cargo off the map. Next, make that pickup lead back home instead of wandering.,很好。机器人已经能把货从地图上取下来。下一步，把这次拾取稳定接回基地，而不是继续乱走。
teaching.m1.unload.title,Loop closed,循环闭合
teaching.m1.unload.body,That is the first complete scavenger loop: pickup, return, unload. Keep future edits from breaking this backbone.,这就是第一条完整拾荒循环：拾取、返航、卸货。后面的修改都尽量别破坏这条主骨架。
teaching.m1.empty.title,Act after checking,先检查再动作
teaching.m1.empty.body,This stage punishes blind actions. Add a forward check before pickup or unload so the loop only acts on real targets.,这一关会惩罚盲目动作。先在拾取或卸货前补一个前方检查，只在目标存在时再执行。
teaching.m2.recharge.title,Return logic confirmed,返航逻辑已确认
teaching.m2.recharge.body,Nice. Once the robot comes home to refill, the route becomes schedulable. Now tighten the haul path without cutting that safety line.,很好。一旦机器人能主动回家补能，这条路线就开始可调度了。接下来再优化搬运路径，但别剪掉这条安全线。
teaching.m2.power.title,Battery floor found,电量下限暴露了
teaching.m2.power.body,You hit the battery floor. Move the energy check earlier or shorten the outbound leg until home is always reachable.,你已经撞到了电量下限。把电量判断提到更前面，或者缩短外出路径，直到基地始终可达。
teaching.m3.craft.title,Base surplus unlocked,基地盈余已解锁
teaching.m3.craft.body,Great. The loop is no longer just surviving; it is producing surplus. Protect that craft branch before you chase more upgrades.,很好。循环现在不只是活着，而是开始产生盈余。继续追求升级前，先保护好这条合成分支。
teaching.m3.logic.title,Base loop too tangled,基地循环过于纠缠
teaching.m3.logic.body,When Forge Yard faults, the usual cause is too many home actions chained together. Split the loop into clearer return and service phases.,熔炉前场一旦故障，通常就是把太多基地动作缠在了一起。把循环拆成更清晰的返航阶段和服务阶段。
teaching.m4.chip.title,Hot-zone haul confirmed,危险区回收已确认
